district_id,y_true,y_pred_multimodal
3409750,0.4362724411102163,0.13196443912483616
2101800,-0.5289992201355291,-0.08448553910670781
100120,-0.2530488643400333,0.21128836265310807
2105460,-0.0945969462882336,0.020349671872764246
4823850,-0.1409064763266217,-0.07761134163907782
4703600,-0.173231776212547,0.027332215308255938
600065,-0.3220307076805112,-0.0359680410175408
4216860,0.6808913198524144,0.2526877442394658
613290,-0.6372198876951606,-0.15039944189492102
4110560,1.15003986815626,0.18669740302236182
4215900,-0.3478349728924752,-0.024852381530918212
4212300,0.012773076466288,0.13332006185482917
617190,0.959961611604208,0.13412669844320857
901500,0.7138337016516311,0.1811748499094591
2100300,0.0672480982408016,-0.023667715318509995
3812720,0.5003057418117923,-0.11173171798277731
3905000,0.45207999619957,0.24861548468281294
4832370,0.1091934987572472,-0.03467525602818541
1806570,-0.1090804979046895,0.07934207602343926
4225680,-0.0282938373483457,-0.012588415200293364
4819050,-0.44787770803466,-0.19011729566370092
